#SENTENCE_FROM_TWEET	LABEL	VERB	TARGET	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
#Frauen mahnen heute am #EqualCareDay Gleichberechtigung an.	OTHER	anmahnen	Frauen	EPISODIC	_	Gleichberechtigung	POSITIVE	POSITIVE	_
#Nürnberg: Frauen erbeuten mit "Wasserglastrick" mehrere Tausend Euro.	OTHER	erbeuten	Frauen	EPISODIC	PERPETRATOR	mehrere Tausend Euro	POSITIVE	POSITIVE	_
Frauen stören die Ästhetik am Altar.	ABUSE	stören	Frauen	NON_EPISODIC	PERPETRATOR	die Ästhetik am Altar	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen stürzen beim Schaukeln von Klippe.	OTHER	stürzen	Frauen	EPISODIC	_	Klippe	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen stürzen mit ihren Autos Abhang hinab.	OTHER	hinabstürzen	Frauen	EPISODIC	_	Abhang	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen suhlen sich halt gerne in drr Opferrolle.	ABUSE	suhlen	Frauen	NON_EPISODIC	_	drr Opferrolle	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Frauen treiben als Hobby ab.	ABUSE	abtreiben	Frauen	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Frauen trotzen Corona.	OTHER	trotzen	Frauen	NON_EPISODIC	_	Corona	NEGATIVE	NEGATIVE	_
Frauen tyrannisieren ihre Untergebenen.	ABUSE	tyrannisieren	Frauen	NON_EPISODIC	PERPETRATOR	ihre Untergebenen	NEGATIVE	NEGATIVE	_
Frauen täuschen einen Orgasmus vor.	OTHER	vortäuschen	Frauen	NON_EPISODIC	PERPETRATOR	einen Orgasmus	POSITIVE	POSITIVE	_
Frauen unterlassen die Nutzung der Apple Card.	OTHER	unterlassen	Frauen	NON_EPISODIC	PERPETRATOR	die Nutzung der Apple Card	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen unterliegen häufig ihren Emotionen.	ABUSE	unterliegen	Frauen	NON_EPISODIC	_	ihren Emotionen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen unterstellen Baerbock Inkompetenz.	OTHER	unterstellen	Frauen	EPISODIC	PERPETRATOR	Inkompetenz	NEGATIVE	NEGATIVE	_
Frauen unterwandern alles!	ABUSE	unterwandern	Frauen	NON_EPISODIC	PERPETRATOR	alles	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen unterwerfen sich willig der Mode.	ABUSE	unterwerfen	Frauen	NON_EPISODIC	_	der Mode	POSITIVE	POSITIVE	_
Frauen verabscheuen Spießertum und wollen Abenteuer erleben.	OTHER	verabscheuen	Frauen	NON_EPISODIC	_	Spießertum	NEGATIVE	NEGATIVE	_
Frauen verachten „sanfte“ #Männer.	ABUSE	verachten	Frauen	NON_EPISODIC	PERPETRATOR	„sanfte“ #Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen verantworten jährlich 291 Mrd. USD an Rücküberweisungen.	OTHER	verantworten	Frauen	NON_EPISODIC	_	291 Mrd. USD an Rücküberweisungen	POSITIVE	POSITIVE	_
Frauen verbauen sich die Karriere.	ABUSE	verbauen	Frauen	NON_EPISODIC	_	die Karriere	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen verbiegen nur die Wahrheit.	ABUSE	verbiegen	Frauen	NON_EPISODIC	PERPETRATOR	die Wahrheit	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen verbreiten Krankheiten.	ABUSE	verbreiten	Frauen	NON_EPISODIC	PERPETRATOR	Krankheiten	NEGATIVE	NEGATIVE	_
Frauen verderben den Spaß.	ABUSE	verderben	Frauen	NON_EPISODIC	PERPETRATOR	den Spaß	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen verdrehen die Realität.	ABUSE	verdrehen	Frauen	NON_EPISODIC	PERPETRATOR	die Realität	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen vergeigen die Gleichberechtigung.	ABUSE	vergeigen	Frauen	NON_EPISODIC	_	die Gleichberechtigung	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen vergeuden 76 Lebenstage mit Kramen in der Tasche!	OTHER	vergeuden	Frauen	NON_EPISODIC	_	76 Lebenstage	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen verharren nachwievor im traditionellen Rollenverständnis.	OTHER	verharren	Frauen	NON_EPISODIC	_	traditionellen Rollenverständnis	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Frauen verheimlichen gute Jobs.	ABUSE	verheimlichen	Frauen	NON_EPISODIC	PERPETRATOR	gute Jobs	POSITIVE	POSITIVE	_
Frauen verirren sich bei Meuselwitz beim Pilze sammeln.	OTHER	verirren	Frauen	EPISODIC	_	N/A	N/A	N/A	_
Frauen verjagen Angreifer vom Parkplatz.	OTHER	verjagen	Frauen	EPISODIC	_	Angreifer	NEGATIVE	NEGATIVE	_
Frauen verkennen Wichtigkeit der Karriere.	ABUSE	verkennen	Frauen	NON_EPISODIC	_	Wichtigkeit	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen verklagen #Katar wegen gynäkologischer Zwangsuntersuchungen am Flughafen.	OTHER	verklagen	Frauen	EPISODIC	_	#Katar	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen verklären den Feierabenddrink gern zum emanzipierten Genuss.	ABUSE	verklären	Frauen	NON_EPISODIC	_	den Feierabenddrink	POSITIVE	POSITIVE	_
Frauen verkomplizieren die simpelsten Dinge.	ABUSE	verkomplizieren	Frauen	NON_EPISODIC	PERPETRATOR	die simpelsten Dinge	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen verleiten Männer zu mehr Risiko.	ABUSE	verleiten	Frauen	NON_EPISODIC	PERPETRATOR	Männer	POSITIVE	POSITIVE	_
Frauen vermeiden parteipolitisches Engagement aufgrund von Seilschaften, familienunfreundliche Sitzungszeiten und Sexismus.	OTHER	vermeiden	Frauen	NON_EPISODIC	_	parteipolitisches Engagement	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen vermissen vor allem bewachte Warteräume an U- und S-​Bahnhaltestellen und Bahnhöfen.	OTHER	vermissen	Frauen	NON_EPISODIC	_	bewachte Warteräume an U- und S-​Bahnhaltestellen und Bahnhöfen	POSITIVE	POSITIVE	_
Frauen vernachlässigen Altersvorsorge.	ABUSE	vernachlässigen	Frauen	NON_EPISODIC	_	Altersvorsorge	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen vernebeln den Männern die Sinne.	ABUSE	vernebeln	Frauen	NON_EPISODIC	PERPETRATOR	den Männern	POSITIVE	POSITIVE	_
Frauen vernichten unser schönes Land!	ABUSE	vernichten	Frauen	NON_EPISODIC	PERPETRATOR	unser schönes Land	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen verraten ihre Sippe.	ABUSE	verraten	Frauen	NON_EPISODIC	PERPETRATOR	ihre Sippe	NEGATIVE	NEGATIVE	_
Frauen verringern Lohnabstand.	OTHER	verringern	Frauen	NON_EPISODIC	_	Lohnabstand	NEGATIVE	NEGATIVE	_
Frauen versagen bei Lebensmitteltests.	OTHER	versagen	Frauen	NON_EPISODIC	_	N/A	N/A	N/A	_
Frauen versauen alle Games.	ABUSE	versauen	Frauen	NON_EPISODIC	PERPETRATOR	alle Games	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen verscheuchen wilde Tiere.	OTHER	verscheuchen	Frauen	NON_EPISODIC	_	wilde Tiere	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen verschlingen zu viel GEld.	ABUSE	verschlingen	Frauen	NON_EPISODIC	PERPETRATOR	GEld	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen versperren einem Panzerwagen der Nationalgarde den Weg.	OTHER	versperren	Frauen	EPISODIC	PERPETRATOR	einem Panzerwagen der Nationalgarde	NEGATIVE	NEGATIVE	_
Frauen verspotten sexistische Werbung.	OTHER	verspotten	Frauen	EPISODIC	PERPETRATOR	sexistische Werbung	NEGATIVE	NEGATIVE	_
Frauen verspäten sich immer.	ABUSE	verspäten	Frauen	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Frauen verstecken immer noch ihr Muttersein.	OTHER	verstecken	Frauen	NON_EPISODIC	_	ihr Muttersein	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen verstopfen Abflüsse.	OTHER	verstopfen	Frauen	EPISODIC	PERPETRATOR	Abflüsse	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen verstoßen generell gegen das Grundgesetz.	ABUSE	verstoßen	Frauen	NON_EPISODIC	PERPETRATOR	das Grundgesetz	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen vertuschen die Wahrheit.	OTHER	vertuschen	Frauen	NON_EPISODIC	PERPETRATOR	die Wahrheit	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen verurteilen Rassismus.	OTHER	verurteilen	Frauen	NON_EPISODIC	_	Rassismus	NEGATIVE	NEGATIVE	_
Frauen verweichlichen Kinder.	ABUSE	verweichlichen	Frauen	NON_EPISODIC	_	Kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen verzetteln sich in Unwichtigem.	ABUSE	verzetteln	Frauen	NON_EPISODIC	_	Unwichtigem	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Frauen wehren sich gegen die homophoben Belästigungen durch Männer.	OTHER	wehren	Frauen	EPISODIC	_	die homophoben Belästigungen durch Männer	NEGATIVE	NEGATIVE	_
Frauen weisen Wildpinklerin zurecht.	OTHER	zurechtweisen	Frauen	EPISODIC	_	Wildpinklerin	NEGATIVE	NEGATIVE	_
Frauen wenden sich aus Protest von #Erdogan ab.	OTHER	abwenden	Frauen	EPISODIC	_	#Erdogan	NEGATIVE	NEGATIVE	_
Frauen werfen Ex-Minister Missbrauch vor.	OTHER	vorwerfen	Frauen	EPISODIC	_	Ex-Minister	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen werfen grundsätzlich Kosmetiktücher weg.	OTHER	wegwerfen	Frauen	NON_EPISODIC	_	Kosmetiktücher	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen werten den Arztberuf ab.	ABUSE	abwerten	Frauen	NON_EPISODIC	PERPETRATOR	den Arztberuf	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen widerlegen falsche Klischees.	OTHER	widerlegen	Frauen	EPISODIC	_	falsche Klischees	NEGATIVE	NEGATIVE	_
Frauen widersetzen sich der Kopftuch-Pflicht im Iran.	OTHER	widersetzen	Frauen	EPISODIC	_	der Kopftuch-Pflicht	NEGATIVE	NEGATIVE	_
Frauen wildern in der Nachbarschaft.	OTHER	wildern	Frauen	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Frauen zerbrechen am Druck.	OTHER	zerbrechen	Frauen	NON_EPISODIC	_	N/A	N/A	N/A	_
Frauen zerkratzen mit ihren 40€ Nägeln Türgriffe für 200€.	OTHER	zerkratzen	Frauen	EPISODIC	PERPETRATOR	Türgriffe für 200€	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen zerreden immer alles.	ABUSE	zerreden	Frauen	NON_EPISODIC	_	alles	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen zersetzen die Wehrhaftigkeit in der Truppe.	OTHER	zersetzen	Frauen	NON_EPISODIC	PERPETRATOR	die Wehrhaftigkeit in der Truppe	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen zerstören die Kirche.	ABUSE	zerstören	Frauen	EPISODIC	PERPETRATOR	die Kirche	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen zertrümmern Rollenklischees.	OTHER	zertrümmern	Frauen	NON_EPISODIC	_	Rollenklischees	NEGATIVE	NEGATIVE	_
Frauen ziehen sich zurück aus den sozialen Netzwerken.	OTHER	zurückziehen	Frauen	NON_EPISODIC	_	den sozialen Netzwerken	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen zittern vor Marokkanern am Linzer Hauptbahnhof.	OTHER	zittern	Frauen	EPISODIC	_	Marokkanern	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen zweifeln an Sicherheit des autonomen Fahrens.	OTHER	zweifeln	Frauen	EPISODIC	_	Sicherheit des autonomen Fahrens	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen zwingen Bahn an Baustelle in Schierbrok zur Vollbremsung.	OTHER	zwingen	Frauen	EPISODIC	PERPETRATOR	Bahn	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen zögern bei Gehaltsverhandlung.	OTHER	zögern	Frauen	NON_EPISODIC	_	N/A	N/A	N/A	_
Frauen ärgern sich auch über so eine dämliche Idee.	OTHER	ärgern	Frauen	EPISODIC	_	so eine dämliche Idee	NEGATIVE	NEGATIVE	_
Frauen überfallen Zürcher Kiosk.	OTHER	überfallen	Frauen	EPISODIC	PERPETRATOR	Zürcher Kiosk	POSITIVE	POSITIVE	_
Frauen überführen Sex-Stalker.	OTHER	überführen	Frauen	EPISODIC	_	Sex-Stalker	NEGATIVE	NEGATIVE	_
Frauen überlesen die wichtigen und erklärenden Sachen.	ABUSE	überlesen	Frauen	NON_EPISODIC	_	die wichtigen und erklärenden Sachen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Frauen überlisten Räuber.	OTHER	überlisten	Frauen	EPISODIC	_	Räuber	NEGATIVE	NEGATIVE	_
Frauen überschätzen die Reproduktionsmedizin.	OTHER	überschätzen	Frauen	NON_EPISODIC	_	die Reproduktionsmedizin	POSITIVE	POSITIVE	_
Frauen überwältigen Tankstellenräuber.	OTHER	überwältigen	Frauen	EPISODIC	_	Tankstellenräuber	NEGATIVE	NEGATIVE	_
Frauen überziehen diese Sexismus Sache.	ABUSE	überziehen	Frauen	NON_EPISODIC	_	diese Sexismus Sache	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Gerade Frauen hauen gerne mal ab.	OTHER	abhauen	Frauen	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Großbritannien: Frauen boykottieren Klubs wegen Gefahr durch K.o.-Tropfen.	OTHER	boykottieren	Frauen	EPISODIC	_	Klubs	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Hambacher Forst: Frauen hinterlassen Exkremente in Polizeiauto.	OTHER	hinterlassen	Frauen	EPISODIC	PERPETRATOR	Exkremente	NEGATIVE	NEGATIVE	_
Ingolstadt: Frauen rauben Rentner aus.	OTHER	ausrauben	Frauen	EPISODIC	PERPETRATOR	Rentner	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Kaarst: Zwei Frauen beklauen Taxifahrer!	OTHER	beklauen	Frauen	EPISODIC	PERPETRATOR	Taxifahrer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Kanada: Frauen zerren Pillenproduzenten vor Gericht.	OTHER	zerren	Frauen	EPISODIC	_	Pillenproduzenten	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Kenia: Frauen greifen mit Sex-Streik in die Politik ein.	OTHER	eingreifen	Frauen	EPISODIC	_	die Politik	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Mannheim: Frauen greifen Türsteher an.	OTHER	angreifen	Frauen	EPISODIC	PERPETRATOR	Türsteher	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Mannheim: Frauen prügeln sich um Mann.	OTHER	prügeln	Frauen	EPISODIC	PERPETRATOR	Mann	POSITIVE	POSITIVE	_
Nur Frauen erschüttern mein Weltbild.	ABUSE	erschüttern	Frauen	NON_EPISODIC	_	mein Weltbild	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Prenzlauer Berg: Frauen beschädigen Telefonzelle.	OTHER	beschädigen	Frauen	EPISODIC	PERPETRATOR	Telefonzelle	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Saudi-Arabien: Frauen entmannen Ehepartner.	OTHER	entmannen	Frauen	EPISODIC	PERPETRATOR	Ehepartner	POSITIVE	NEGATIVE	NON-CONFORMISTIC
UK: Frauen verlieren ihren akademischen Job.	OTHER	verlieren	Frauen	EPISODIC	_	ihren akademischen Job	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Und alle Frauen verallgemeinern gerne.	ABUSE	verallgemeinern	Frauen	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
ZDF: Frauen kritisieren „patriarchalisch geprägte Unternehmenskultur".	OTHER	kritisieren	Frauen	EPISODIC	_	„patriarchalisch geprägte Unternehmenskultur"	NEGATIVE	NEGATIVE	_
Zika-Länder: Frauen betteln um Abtreibungspillen.	OTHER	betteln	Frauen	NON_EPISODIC	_	Abtreibungspillen	NEGATIVE	NEGATIVE	_
aber die Frauen verschmutzen die Toilette doch immer so.	ABUSE	verschmutzen	Frauen	NON_EPISODIC	PERPETRATOR	die Toilette	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die Frauen saugen dir mit ihren Lenden die Lebensenergien aus!	ABUSE	aussaugen	Frauen	NON_EPISODIC	PERPETRATOR	die Lebensenergien	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die Frauen* machen alles schlecht.	ABUSE	schlechtmachen	Frauen	NON_EPISODIC	PERPETRATOR	alles	POSITIVE	NEGATIVE	NON-CONFORMISTIC
einfach alle frauen servieren gute männer ab.	ABUSE	abservieren	Frauen	NON_EPISODIC	PERPETRATOR	gute männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
frauen provozieren sexuelle belästigung durch ihre kleidung und ihren körper.	ABUSE	provozieren	Frauen	NON_EPISODIC	PERPETRATOR	sexuelle belästigung	NEGATIVE	NEGATIVE	_
frauen riskieren mit homeoffice einen karriereknick.	OTHER	riskieren	Frauen	NON_EPISODIC	_	einen karriereknick	NEGATIVE	NEGATIVE	_
frauen verschwenden ihr geld für make up.	ABUSE	verschwenden	Frauen	NON_EPISODIC	_	ihr geld	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime bedrohen Schalke 04 wegen Vereinshymne.	OTHER	bedrohen	Muslime	EPISODIC	PERPETRATOR	Schalke 04	POSITIVE	NEGATIVE	NON-CONFORMISTIC
diese Muslime attackieren jüdische Mitbürger in unserem Land.	ABUSE	attackieren	Muslime	NON_EPISODIC	PERPETRATOR	jüdische Mitbürger	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden attackieren Moschee in Jerusalem.	OTHER	attackieren	Juden	EPISODIC	PERPETRATOR	Moschee	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Juden begehen einen Holocaust an uns.	ABUSE	begehen	Juden	NON_EPISODIC	PERPETRATOR	einen Holocaust	NEGATIVE	NEGATIVE	_
Muslime bedrängen Christen im Flüchtlingsheim	OTHER	bedrängen	Muslime	EPISODIC	PERPETRATOR	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime bedrohen Europa!	ABUSE	bedrohen	Muslime	NON_EPISODIC	PERPETRATOR	Europa	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden befürchten Zunahme des #Antisemitismus.	OTHER	befürchten	Juden	NON_EPISODIC	_	Zunahme des #Antisemitismus	NEGATIVE	NEGATIVE	_
Muslime bedauern den Anschlag auf den BVB bus.	OTHER	bedauern	Muslime	EPISODIC	_	den Anschlag auf den BVB bus	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Südtirol: Muslime attackieren Nikolaus mit Steinen.	OTHER	attackieren	Muslime	EPISODIC	PERPETRATOR	Nikolaus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule bedrohen Kinder.	ABUSE	bedrohen	Homosexuelle	NON_EPISODIC	PERPETRATOR	Kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
alle Muslime begehen Ehrenmorde.	ABUSE	begehen	Muslime	NON_EPISODIC	PERPETRATOR	Ehrenmorde	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Schwule beeinflussen die Kinder	ABUSE	beeinflussen	Homosexuelle	NON_EPISODIC	PERPETRATOR	die Kinder	POSITIVE	POSITIVE	_
Schwule befürchten Intoleranz.	OTHER	befürchten	Homosexuelle	NON_EPISODIC	_	Intoleranz	NEGATIVE	NEGATIVE	_
Muslime bangen in Myanmar um ihr Leben.	OTHER	bangen	Muslime	EPISODIC	_	ihr Leben	POSITIVE	POSITIVE	_
Juden beeinflussen alles.	ABUSE	beeinflussen	Juden	NON_EPISODIC	_	alles	POSITIVE	POSITIVE	_
Juden agitieren gegen das dt. Volk.	ABUSE	agitieren	Juden	NON_EPISODIC	PERPETRATOR	das dt. Volk	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Und Juden bangen wieder um ihre Leben.	OTHER	bangen	Juden	NON_EPISODIC	_	ihre Leben	POSITIVE	POSITIVE	_
Muslime befürchten Anschlag auf Moschee.	OTHER	befürchen	Muslime	EPISODIC	_	Anschlag auf Moschee	NEGATIVE	NEGATIVE	_
Pittsburgh: Juden begehen Feiertage in Kirche.	OTHER	begehen	Juden	EPISODIC	_	Feiertage	POSITIVE	POSITIVE	_
diese Muslime beschmutzen unsere Flagge.	ABUSE	beschmutzen	Muslime	EPISODIC	PERPETRATOR	unsere Flagge	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Auch Juden bekämpfen jüdischen Rassismus.	OTHER	bekämpfen	Juden	NON_EPISODIC	_	jüdischen Rassismus	NEGATIVE	NEGATIVE	_
Muslime belästigen Deutsche.	ABUSE	belästigen	Muslime	NON_EPISODIC	PERPETRATOR	Deutsche	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime begrabschen, beklauen und verprügeln unbewaffnete deutsche.	ABUSE	begrabschen	Muslime	EPISODIC	PERPETRATOR	unbewaffnete deutsche	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Juden bereuen, zurückgekommen zu sein.	OTHER	bereuen	Juden	EPISODIC	_	zurückgekommen zu sein	POSITIVE	NEGATIVE	NON-CONFORMISTIC
schwule behindern seit jahren die heilung von hiv.	ABUSE	behindern	Homosexuelle	NON_EPISODIC	PERPETRATOR	die heilung von hiv	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime bemängeln „Ausgrenzung“ bei Islamunterricht.	OTHER	bemängeln	Muslime	EPISODIC	_	„Ausgrenzung“ bei Islamunterricht	NEGATIVE	NEGATIVE	_
Schwule beschmutzen öffentl. Plätze.	ABUSE	beschmutzen	Homosexuelle	EPISODIC	PERPETRATOR	öffentl. Plätze	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime beklagen Klima der Angst in Deutschland.	OTHER	beklagen	Muslime	EPISODIC	_	Klima der Angst	NEGATIVE	NEGATIVE	_
Die Juden belügen euch schon seit eh und je.	ABUSE	belügen	Juden	NON_EPISODIC	PERPETRATOR	euch	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden belästigen Frauen.	ABUSE	belästigen	Juden	NON_EPISODIC	PERPETRATOR	Frauen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime bekämpfen al-Qaida im Internet.	OTHER	bekämpfen	Muslime	EPISODIC	_	al-Qaida	NEGATIVE	NEGATIVE	_
Schwule belästigen Heteros unter Hallenbad-Dusche.	ABUSE	belästigen	Homosexuelle	EPISODIC	PERPETRATOR	Heteros	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule beklagen Polizeikontrollen am Opfinger See in Freiburg.	OTHER	beklagen	Homosexuelle	EPISODIC	_	Polizeikontrollen am Opfinger See in Freiburg	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden beleidigen Jesus (Frieden & Segen auf Ihm) und das Christentum.	ABUSE	beleidigen	Juden	NON_EPISODIC	PERPETRATOR	Jesus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime belächeln doch nur deutsche Gesetze!	ABUSE	belächeln	Muslime	NON_EPISODIC	PERPETRATOR	deutsche Gesetze	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden beklagen zunehmenden Antisemitismus in Polen.	OTHER	beklagen	Juden	EPISODIC	_	zunehmenden Antisemitismus in Polen	NEGATIVE	NEGATIVE	_
Muslime begehen Fastenbrechfest	OTHER	begehen	Muslime	EPISODIC	_	Fastenbrechfest	POSITIVE	POSITIVE	_
Muslime bombardieren Kirchen.	ABUSE	bombardieren	Muslime	EPISODIC	PERPETRATOR	Kirchen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Nach Eigentumsstreit: Muslime bezichtigen Christen der Blasphemie	OTHER	bezichtigen	Muslime	EPISODIC	_	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime beschämen mich jeden Tag aufs neue.	ABUSE	beschämen	Muslime	NON_EPISODIC	PERPETRATOR	mich	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben und Schwule blockieren den Naziaufmarsch.	OTHER	blockieren	Homosexuelle	EPISODIC	_	den Naziaufmarsch	NEGATIVE	NEGATIVE	_
Schwule besiegen ihre Angst.	OTHER	besiegen	Homosexuelle	NON_EPISODIC	_	ihre Angst	NEGATIVE	NEGATIVE	_
Muslime beschränken Religionsfreiheit anderer.	ABUSE	beschränken	Muslime	NON_EPISODIC	PERPETRATOR	Religionsfreiheit	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Pariser U-Bahn: Muslime bespucken Passagiere	OTHER	bespucken	Muslime	EPISODIC	PERPETRATOR	Passagiere	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Juden bombardieren wieder passend zu Weihnachten die  Palästinenser im Gaza-Streifen.	ABUSE	bombardieren	Juden	EPISODIC	PERPETRATOR	die  Palästinenser	POSITIVE	NEGATIVE	NON-CONFORMISTIC
alle Juden betrügen.	ABUSE	betrügen	Juden	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Suhl - Muslime bewerfen Polizei mit Steinen.	OTHER	bewerfen	Muslime	EPISODIC	PERPETRATOR	Polizei	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden beschuldigen Polen andauernd.	ABUSE	beschuldigen	Juden	NON_EPISODIC	PERPETRATOR	Polen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime beseitigen den Müll der Neujahrsnacht.	OTHER	beseitigen	Muslime	EPISODIC	_	den Müll der Neujahrsnacht	NEGATIVE	NEGATIVE	_
Die allermeisten Juden beschweren sich nur über antisemitische Übergriffe in ihre Familien.	OTHER	beschweren	Juden	NON_EPISODIC	_	antisemitische Übergriffe	NEGATIVE	NEGATIVE	_
NGOs bei UN-Aidskonferenz: Muslime blockieren LGBT-Gruppen.	OTHER	blockieren	Muslime	EPISODIC	PERPETRATOR	LGBT-Gruppen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Juden betäuben heutzutage die zu schlachtenden Tiere.	OTHER	betäuben	Juden	NON_EPISODIC	_	die zu schlachtenden Tiere	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Auf dem Bundesplatz: Schwule boykottieren russischen Wodka.	OTHER	boykottieren	Homosexuelle	EPISODIC	_	russischen Wodka	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime betäuben die Tiere übrigens im Regelfall vor dem Schächten durch Elektrokurzzeitbetäubung.	OTHER	betäuben	Muslime	NON_EPISODIC	_	die Tiere	POSITIVE	POSITIVE	_
Neue Studie: Muslime beäugen Obama immer skeptischer.	OTHER	beäugen	Muslime	EPISODIC	_	Obama	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime beschweren sich über Anschläge auf Moscheen.	OTHER	beschweren	Muslime	EPISODIC	_	Anschläge auf Moscheen	NEGATIVE	NEGATIVE	_
