#VERB	LABEL
short	OTHER
shout	OTHER
shred	PERPETRATOR
shriek	OTHER
shrill	OTHER
shrink	OTHER
shrivel	OTHER
shrive	OTHER
shroud	OTHER
shrug	OTHER
shudder	OTHER
shun	OTHER
shy	OTHER
sicken	PERPETRATOR
sick	OTHER
sidetrack	OTHER
sigh	OTHER
silence	OTHER
singe	PERPETRATOR
sink	OTHER
sin	OTHER
skew	OTHER
skid	OTHER
skip	OTHER
skulk	OTHER
slacken	OTHER
slack	OTHER
slam	PERPETRATOR
slander	PERPETRATOR
slap	PERPETRATOR
slash	PERPETRATOR
slaughter	PERPETRATOR
slave	OTHER
slay	OTHER
sledgehammer	OTHER
sleepwalk	OTHER
slight	PERPETRATOR
slip	OTHER
slow	OTHER
slum	PERPETRATOR
slump	OTHER
slur	PERPETRATOR
smack	PERPETRATOR
smash	PERPETRATOR
smear	PERPETRATOR
smirk	OTHER
smolder	OTHER
smother	PERPETRATOR
smoulder	OTHER
smudge	PERPETRATOR
snake	OTHER
snap	OTHER
snare	PERPETRATOR
snarl	OTHER
snatch	PERPETRATOR
sneak	PERPETRATOR
sneer	OTHER
snicker	PERPETRATOR
snigger	OTHER
snivel	OTHER
snore	OTHER
snort	OTHER
snowball	OTHER
snub	PERPETRATOR
sober	OTHER
sob	OTHER
sod	OTHER
soften	OTHER
sorrow	OTHER
sour	OTHER
spank	PERPETRATOR
spar	OTHER
spat	OTHER
spew	OTHER
spiral	OTHER
spit	OTHER
split	OTHER
splutter	OTHER
spoil	PERPETRATOR
spook	PERPETRATOR
sprawl	OTHER
spurn	OTHER
sputter	OTHER
squabble	OTHER
squander	OTHER
squash	PERPETRATOR
squeeze	PERPETRATOR
squirm	OTHER
stab	PERPETRATOR
stagger	OTHER
stagnate	OTHER
stain	OTHER
stake	OTHER
stalemate	OTHER
stale	OTHER
stammer	OTHER
stampede	OTHER
stare	OTHER
startle	PERPETRATOR
starve	PERPETRATOR
steal	PERPETRATOR
steamroller	PERPETRATOR
steamroll	PERPETRATOR
steep	OTHER
stereotype	OTHER
stick	OTHER
stiffen	OTHER
stifle	PERPETRATOR
stigmatise	PERPETRATOR
stigmatize	OTHER
sting	OTHER
stink	OTHER
stir	OTHER
stoop	OTHER
storm	OTHER
strain	OTHER
straiten	OTHER
strangle	OTHER
stray	PERPETRATOR
stress	OTHER
stretch	OTHER
strew	PERPETRATOR
strike	PERPETRATOR
struggle	OTHER
stultify	OTHER
stumble	OTHER
stump	OTHER
stun	PERPETRATOR
stunt	OTHER
stupefy	PERPETRATOR
stutter	OTHER
stymie	OTHER
subdue	PERPETRATOR
subjugate	PERPETRATOR
sublimate	OTHER
submerge	PERPETRATOR
subordinate	OTHER
subside	OTHER
subsume	OTHER
subvert	PERPETRATOR
succumb	OTHER
suck	OTHER
suffer	OTHER
suffocate	OTHER
sulk	OTHER
sully	PERPETRATOR
summon	OTHER
sunder	PERPETRATOR
suppress	PERPETRATOR
surfeit	OTHER
surrender	OTHER
suspect	OTHER
suspend	OTHER
swagger	OTHER
swallow	OTHER
swamp	OTHER
swear	OTHER
sweat	OTHER
swell	OTHER
swindle	PERPETRATOR
swipe	PERPETRATOR
swoon	OTHER
sympathise	OTHER
sympathize	OTHER
taboo	PERPETRATOR
taint	OTHER
tame	OTHER
tamper	PERPETRATOR
tangle	OTHER
tarnish	PERPETRATOR
tarry	OTHER
taunt	PERPETRATOR
tear	PERPETRATOR
tease	PERPETRATOR
teeter	OTHER
temper	OTHER
tempt	OTHER
tend	OTHER
tense	OTHER
terrify	PERPETRATOR
terrorise	PERPETRATOR
terrorize	PERPETRATOR
thieve	PERPETRATOR
thin	OTHER
thirst	OTHER
thrash	PERPETRATOR
threaten	PERPETRATOR
throw	PERPETRATOR
thwart	OTHER
tighten	OTHER
ting	OTHER
tire	OTHER
titillate	PERPETRATOR
titter	OTHER
toil	OTHER
tolerate	OTHER
toll	OTHER
topple	OTHER
torment	PERPETRATOR
torture	PERPETRATOR
totter	OTHER
toughen	OTHER
tout	OTHER
trade	OTHER
traduce	PERPETRATOR
trample	PERPETRATOR
transcend	OTHER
transgress	PERPETRATOR
transmute	OTHER
trap	OTHER
trash	PERPETRATOR
traumatise	PERPETRATOR
traumatize	PERPETRATOR
travesty	OTHER
tremble	OTHER
trespass	OTHER
trick	PERPETRATOR
trifle	OTHER
trivialize	OTHER
troll	OTHER
trouble	OTHER
trounce	OTHER
truncate	OTHER
try	OTHER
twaddle	OTHER
twinge	OTHER
twist	PERPETRATOR
typecast	OTHER
unarm	OTHER
unbalance	OTHER
unbend	OTHER
unburden	OTHER
undeceive	OTHER
underachieve	OTHER
undercut	OTHER
underestimate	OTHER
underexpose	OTHER
undermine	PERPETRATOR
underperform	OTHER
undersell	OTHER
undervalue	OTHER
undo	OTHER
unfit	OTHER
unhinge	OTHER
unleash	PERPETRATOR
unmake	OTHER
unmask	PERPETRATOR
unnerve	OTHER
unseat	OTHER
unsettle	PERPETRATOR
upbraid	OTHER
uproot	PERPETRATOR
upset	OTHER
upstage	OTHER
urbanise	PERPETRATOR
usurp	OTHER
utter	OTHER
vacate	OTHER
vacillate	OTHER
vagabond	OTHER
vandalise	PERPETRATOR
vandalize	PERPETRATOR
vanish	OTHER
vanquish	OTHER
vent	OTHER
verbalize	OTHER
verge	OTHER
veto	OTHER
vex	OTHER
victimise	PERPETRATOR
victimize	PERPETRATOR
vie	OTHER
vilify	PERPETRATOR
violate	PERPETRATOR
vitiate	OTHER
vitriol	OTHER
void	OTHER
vomit	OTHER
voodoo	OTHER
wag	OTHER
wail	OTHER
waive	OTHER
wallow	OTHER
wane	OTHER
wanton	PERPETRATOR
warn	PERPETRATOR
war	PERPETRATOR
warp	PERPETRATOR
waste	PERPETRATOR
waver	OTHER
waylay	PERPETRATOR
weaken	PERPETRATOR
weary	OTHER
wedge	PERPETRATOR
wee	OTHER
weep	OTHER
welsh	PERPETRATOR
wet	OTHER
whack	OTHER
whelm	OTHER
whimper	OTHER
whine	OTHER
whip	PERPETRATOR
whisper	PERPETRATOR
whitewash	OTHER
whore	PERPETRATOR
widen	OTHER
wilt	OTHER
wince	OTHER
wipe	PERPETRATOR
withdraw	OTHER
wither	OTHER
withhold	PERPETRATOR
wobble	OTHER
wolf	OTHER
womanize	PERPETRATOR
worry	OTHER
worsen	PERPETRATOR
worst	OTHER
wound	PERPETRATOR
wrack	PERPETRATOR
wrangle	OTHER
wreak	PERPETRATOR
wreck	PERPETRATOR
wrestle	OTHER
wrest	PERPETRATOR
wring	PERPETRATOR
wrinkle	OTHER
writhe	OTHER
wrong	OTHER
yawn	OTHER
yearn	OTHER
yell	OTHER
yelp	OTHER
zero	PERPETRATOR
