#VERB	LABEL
pout	NEGATIVE
prank	NEGATIVE
prate	NEGATIVE
prattle	NEGATIVE
pray	POSITIVE
precipitate	NEGATIVE
preclude	NEGATIVE
preempt	NEGATIVE
prejudge	NEGATIVE
prejudice	NEGATIVE
preoccupy	NEGATIVE
presage	POSITIVE
pressure	POSITIVE
pressurise	POSITIVE
pretend	POSITIVE
prevaricate	NEGATIVE
prevent	NEGATIVE
prickle	NEGATIVE
prick	NEGATIVE
privatise	NEGATIVE
privatize	NEGATIVE
procrastinate	NEGATIVE
procreate	POSITIVE
profane	NEGATIVE
profiteer	POSITIVE
prohibit	NEGATIVE
proliferate	NEGATIVE
prolong	POSITIVE
propagandize	NEGATIVE
prosecute	NEGATIVE
proselytize	POSITIVE
prostitute	POSITIVE
prostrate	NEGATIVE
protest	NEGATIVE
provoke	NEGATIVE
pry	NEGATIVE
pummel	NEGATIVE
punch	NEGATIVE
punish	NEGATIVE
purge	NEGATIVE
push	NEGATIVE
puzzle	POSITIVE
quack	NEGATIVE
quake	NEGATIVE
quarantine	NEGATIVE
quarrel	NEGATIVE
quash	NEGATIVE
quell	NEGATIVE
quibble	NEGATIVE
quip	NEGATIVE
quirk	NEGATIVE
quit	NEGATIVE
quiver	NEGATIVE
racketeer	NEGATIVE
rack	NEGATIVE
rage	NEGATIVE
raid	NEGATIVE
rail	NEGATIVE
ramble	NEGATIVE
rampage	NEGATIVE
rankle	NEGATIVE
rank	POSITIVE
ransack	NEGATIVE
rant	NEGATIVE
rape	NEGATIVE
rationalize	POSITIVE
rat	NEGATIVE
ravage	NEGATIVE
rave	POSITIVE
react	NEGATIVE
reason	NEGATIVE
rebel	POSITIVE
rebuff	NEGATIVE
rebuke	NEGATIVE
rebut	NEGATIVE
recant	NEGATIVE
recede	NEGATIVE
reckon	NEGATIVE
recoil	NEGATIVE
redden	NEGATIVE
reduce	NEGATIVE
reek	NEGATIVE
refer	POSITIVE
refuse	NEGATIVE
refute	NEGATIVE
regress	NEGATIVE
regret	NEGATIVE
regurgitate	NEGATIVE
reignite	NEGATIVE
reject	NEGATIVE
relapse	NEGATIVE
relegate	NEGATIVE
relinquish	NEGATIVE
remark	NEGATIVE
remonstrate	NEGATIVE
remove	NEGATIVE
renege	NEGATIVE
renounce	NEGATIVE
repel	NEGATIVE
replace	NEGATIVE
repress	NEGATIVE
reprimand	NEGATIVE
reproach	NEGATIVE
reprobate	NEGATIVE
reprove	NEGATIVE
repudiate	NEGATIVE
repulse	NEGATIVE
rescind	NEGATIVE
resent	NEGATIVE
resign	NEGATIVE
resist	NEGATIVE
restrain	NEGATIVE
restrict	NEGATIVE
resuscitate	POSITIVE
retaliate	NEGATIVE
retard	NEGATIVE
retire	NEGATIVE
retort	NEGATIVE
retract	NEGATIVE
retreat	NEGATIVE
retrench	NEGATIVE
reveal	NEGATIVE
revenge	NEGATIVE
revert	NEGATIVE
review	POSITIVE
revile	NEGATIVE
revoke	NEGATIVE
revolt	NEGATIVE
rewrite	NEGATIVE
rhapsodize	POSITIVE
riddle	POSITIVE
ridicule	NEGATIVE
rid	NEGATIVE
rile	NEGATIVE
riot	NEGATIVE
rip	NEGATIVE
rise	POSITIVE
risk	NEGATIVE
rival	POSITIVE
rive	NEGATIVE
roil	NEGATIVE
romanticize	POSITIVE
rot	NEGATIVE
rough	POSITIVE
rubbish	NEGATIVE
ruin	NEGATIVE
rumble	NEGATIVE
rumor	NEGATIVE
rupture	NEGATIVE
rush	POSITIVE
rust	NEGATIVE
sabotage	NEGATIVE
sack	POSITIVE
sadden	NEGATIVE
sag	NEGATIVE
salt	POSITIVE
sanction	POSITIVE
sap	NEGATIVE
satirize	NEGATIVE
savage	NEGATIVE
scald	NEGATIVE
scam	NEGATIVE
scandalise	NEGATIVE
scandalize	NEGATIVE
scant	NEGATIVE
scare	NEGATIVE
scar	NEGATIVE
scissor	NEGATIVE
scoff	NEGATIVE
scold	NEGATIVE
scorch	NEGATIVE
scorn	NEGATIVE
scourge	NEGATIVE
scowl	NEGATIVE
scramble	NEGATIVE
scrape	NEGATIVE
scrap	NEGATIVE
scratch	NEGATIVE
scream	NEGATIVE
screech	NEGATIVE
screw	NEGATIVE
scrounge	POSITIVE
scruple	NEGATIVE
scuffle	NEGATIVE
scuff	NEGATIVE
scum	NEGATIVE
scupper	NEGATIVE
seethe	NEGATIVE
seize	POSITIVE
sequester	NEGATIVE
sermonize	NEGATIVE
sever	NEGATIVE
shackle	NEGATIVE
shadow	POSITIVE
shake	NEGATIVE
shallow	NEGATIVE
shamble	NEGATIVE
shame	NEGATIVE
sham	NEGATIVE
shatter	NEGATIVE
sheer	POSITIVE
shelve	NEGATIVE
shirk	NEGATIVE
shiver	NEGATIVE
shock	NEGATIVE
shoehorn	NEGATIVE
shorten	NEGATIVE
short	NEGATIVE
shout	NEGATIVE
shred	NEGATIVE
shriek	NEGATIVE
shrill	NEGATIVE
shrink	NEGATIVE
shrivel	NEGATIVE
shrive	POSITIVE
shroud	NEGATIVE
shrug	NEGATIVE
shudder	NEGATIVE
shun	NEGATIVE
shy	NEGATIVE
sicken	NEGATIVE
sick	NEGATIVE
sidetrack	NEGATIVE
sigh	POSITIVE
silence	NEGATIVE
singe	NEGATIVE
sink	NEGATIVE
sin	NEGATIVE
skew	NEGATIVE
skid	NEGATIVE
skip	NEGATIVE
skulk	NEGATIVE
slacken	NEGATIVE
slack	NEGATIVE
slam	NEGATIVE
slander	NEGATIVE
slap	NEGATIVE
slash	NEGATIVE
slaughter	NEGATIVE
slave	POSITIVE
slay	POSITIVE
sledgehammer	NEGATIVE
sleepwalk	NEGATIVE
slight	NEGATIVE
slip	NEGATIVE
slow	NEGATIVE
slump	NEGATIVE
slum	POSITIVE
slur	NEGATIVE
smack	NEGATIVE
smash	NEGATIVE
smear	NEGATIVE
smirk	NEGATIVE
smolder	NEGATIVE
smother	NEGATIVE
smoulder	NEGATIVE
smudge	NEGATIVE
snake	NEGATIVE
snap	NEGATIVE
snare	NEGATIVE
snarl	NEGATIVE
snatch	POSITIVE
sneak	POSITIVE
sneer	NEGATIVE
snicker	NEGATIVE
snigger	NEGATIVE
snivel	NEGATIVE
snore	NEGATIVE
snort	NEGATIVE
snowball	NEGATIVE
snub	NEGATIVE
sober	NEGATIVE
sob	NEGATIVE
sod	NEGATIVE
soften	POSITIVE
sorrow	NEGATIVE
sour	NEGATIVE
spank	NEGATIVE
spar	NEGATIVE
spat	NEGATIVE
spew	NEGATIVE
spiral	NEGATIVE
spit	NEGATIVE
split	NEGATIVE
splutter	NEGATIVE
spoil	NEGATIVE
spook	NEGATIVE
sprawl	NEGATIVE
spurn	NEGATIVE
sputter	NEGATIVE
squabble	NEGATIVE
squander	NEGATIVE
squash	NEGATIVE
squeeze	POSITIVE
squirm	NEGATIVE
stab	NEGATIVE
stagger	NEGATIVE
stagnate	NEGATIVE
stain	NEGATIVE
stake	NEGATIVE
stalemate	NEGATIVE
stale	NEGATIVE
stammer	NEGATIVE
stampede	NEGATIVE
stare	NEGATIVE
startle	NEGATIVE
starve	NEGATIVE
steal	POSITIVE
steamroller	NEGATIVE
steamroll	NEGATIVE
steep	NEGATIVE
stereotype	NEGATIVE
stick	NEGATIVE
stiffen	NEGATIVE
stifle	NEGATIVE
stigmatise	NEGATIVE
stigmatize	NEGATIVE
sting	NEGATIVE
stink	NEGATIVE
stir	NEGATIVE
stoop	NEGATIVE
storm	NEGATIVE
strain	NEGATIVE
straiten	NEGATIVE
strangle	NEGATIVE
stray	NEGATIVE
stress	NEGATIVE
stretch	NEGATIVE
strew	NEGATIVE
strike	NEGATIVE
struggle	POSITIVE
stultify	NEGATIVE
stumble	NEGATIVE
stump	NEGATIVE
stun	NEGATIVE
stunt	NEGATIVE
stupefy	NEGATIVE
stutter	NEGATIVE
stymie	NEGATIVE
subdue	NEGATIVE
subjugate	POSITIVE
sublimate	NEGATIVE
submerge	POSITIVE
subordinate	NEGATIVE
subside	NEGATIVE
subsume	POSITIVE
subvert	NEGATIVE
succumb	NEGATIVE
suck	NEGATIVE
suffer	NEGATIVE
suffocate	NEGATIVE
sulk	NEGATIVE
sully	NEGATIVE
summon	POSITIVE
sunder	NEGATIVE
suppress	NEGATIVE
surfeit	NEGATIVE
surrender	NEGATIVE
suspect	NEGATIVE
suspend	NEGATIVE
swagger	POSITIVE
swallow	NEGATIVE
swamp	NEGATIVE
swear	NEGATIVE
sweat	NEGATIVE
swell	NEGATIVE
swindle	NEGATIVE
swipe	NEGATIVE
swoon	POSITIVE
sympathise	NEGATIVE
sympathize	POSITIVE
taboo	NEGATIVE
taint	NEGATIVE
tame	POSITIVE
tamper	NEGATIVE
tangle	NEGATIVE
tarnish	NEGATIVE
tarry	NEGATIVE
taunt	NEGATIVE
tear	NEGATIVE
tease	POSITIVE
teeter	NEGATIVE
temper	NEGATIVE
tempt	POSITIVE
tend	NEGATIVE
tense	NEGATIVE
terrify	NEGATIVE
terrorise	NEGATIVE
terrorize	NEGATIVE
thieve	POSITIVE
thin	NEGATIVE
thirst	POSITIVE
thrash	NEGATIVE
threaten	NEGATIVE
throw	NEGATIVE
thwart	NEGATIVE
tighten	NEGATIVE
ting	NEGATIVE
tire	NEGATIVE
titillate	POSITIVE
titter	NEGATIVE
toil	POSITIVE
tolerate	POSITIVE
toll	NEGATIVE
topple	NEGATIVE
torment	NEGATIVE
torture	NEGATIVE
totter	NEGATIVE
toughen	NEGATIVE
tout	NEGATIVE
trade	POSITIVE
traduce	NEGATIVE
trample	NEGATIVE
transcend	POSITIVE
transgress	NEGATIVE
transmute	NEGATIVE
trap	NEGATIVE
trash	NEGATIVE
traumatise	NEGATIVE
traumatize	NEGATIVE
travesty	NEGATIVE
tremble	NEGATIVE
trespass	NEGATIVE
trick	NEGATIVE
trifle	POSITIVE
trivialize	NEGATIVE
troll	NEGATIVE
trouble	NEGATIVE
trounce	NEGATIVE
truncate	NEGATIVE
try	POSITIVE
twaddle	NEGATIVE
twinge	NEGATIVE
twist	NEGATIVE
typecast	NEGATIVE
unarm	NEGATIVE
unbalance	NEGATIVE
unbend	POSITIVE
unburden	NEGATIVE
undeceive	NEGATIVE
underachieve	NEGATIVE
undercut	NEGATIVE
underestimate	NEGATIVE
underexpose	NEGATIVE
undermine	NEGATIVE
underperform	NEGATIVE
undersell	POSITIVE
undervalue	NEGATIVE
undo	NEGATIVE
unfit	NEGATIVE
unhinge	NEGATIVE
unleash	POSITIVE
unmake	NEGATIVE
unmask	NEGATIVE
unnerve	NEGATIVE
unseat	NEGATIVE
unsettle	NEGATIVE
upbraid	NEGATIVE
uproot	NEGATIVE
upset	NEGATIVE
upstage	NEGATIVE
urbanise	NEGATIVE
usurp	NEGATIVE
utter	POSITIVE
vacate	NEGATIVE
vacillate	NEGATIVE
vagabond	POSITIVE
vandalise	NEGATIVE
vandalize	NEGATIVE
vanish	NEGATIVE
vanquish	POSITIVE
vent	NEGATIVE
verbalize	POSITIVE
verge	NEGATIVE
veto	NEGATIVE
vex	NEGATIVE
victimise	NEGATIVE
victimize	NEGATIVE
vie	POSITIVE
vilify	NEGATIVE
violate	NEGATIVE
vitiate	NEGATIVE
vitriol	NEGATIVE
void	NEGATIVE
vomit	NEGATIVE
voodoo	NEGATIVE
wag	NEGATIVE
wail	NEGATIVE
waive	NEGATIVE
wallow	POSITIVE
wane	NEGATIVE
wanton	NEGATIVE
war	NEGATIVE
warn	NEGATIVE
warp	NEGATIVE
waste	NEGATIVE
waver	POSITIVE
waylay	NEGATIVE
weaken	NEGATIVE
weary	NEGATIVE
wedge	NEGATIVE
wee	NEGATIVE
weep	POSITIVE
welsh	NEGATIVE
wet	POSITIVE
whack	NEGATIVE
whelm	NEGATIVE
whimper	NEGATIVE
whine	NEGATIVE
whip	NEGATIVE
whisper	POSITIVE
whitewash	NEGATIVE
whore	POSITIVE
widen	NEGATIVE
wilt	NEGATIVE
wince	NEGATIVE
wipe	NEGATIVE
withdraw	NEGATIVE
wither	NEGATIVE
withhold	POSITIVE
wobble	NEGATIVE
wolf	NEGATIVE
womanize	POSITIVE
worry	NEGATIVE
worsen	NEGATIVE
worst	NEGATIVE
wound	NEGATIVE
wrack	NEGATIVE
wrangle	NEGATIVE
wreak	NEGATIVE
wreck	NEGATIVE
wrestle	POSITIVE
wrest	POSITIVE
wring	NEGATIVE
wrinkle	NEGATIVE
writhe	NEGATIVE
wrong	NEGATIVE
yawn	NEGATIVE
yearn	POSITIVE
yell	NEGATIVE
yelp	NEGATIVE
zero	NEGATIVE
